horoscope,aliasname,startDate,endDate,description,positives,negatives
Aries,The Ram,03-21,04-19,"Those born under the Aries zodiac sign often have an exciting and enthusiastic energy. They often seek new and challenging adventures that can push their limits. They are driven, ambitious and curious, and aries tends to have a strong sense of justice. They love competition, in all its forms. They are generally quite optimistic, and they love","Brave, Direct,Fearless,Independent,Deep Sense of Justice, Natural Leader","Aggressive,Self Centered,Pushy,Inconsistent,Bad-tempered,Selfish"
Taurus,The Bull,04-20,05-20,"People born under the Taurus zodiac sign are often incredibly dedicated, reliable and dependable. Above all things, they value their sense of security and stability.  After Aries brings its fiery energy, it is Taurus that lays down the foundations and follows through. They tend to be rather stubborn and dislike change. When they settle with a routine that they like, it can take much effort to get them to change","Steady,Driven,Tenacious,Enduring,Persistent,Trustworthy,Patient","Materialistic,Resistant To Change,Indulgent,Possessive,Stubborn"
Gemini,The Twins,05-21,06-20,"Those born under the Gemini zodiac sign enjoy socializing and love surrounding themselves with people. They are ruled by the planet Mercury, and so they are never happier than when they are sharing their ideas and communicating with the people around them. They enjoy chit-chat and tend to have expression and communication very high on their list of priorities. Sometimes their love for sharing themselves with others, and their never-ending list of ideas can make them seem nervous, excited, and sometimes even manic.","Intelligent,Adaptable,Agile,Communicative,Informative,Connected","Talkative,Exaggerating,Deceptive,Cunning,Superficial,Inconsistent"
Cancer,The Crab,06-21,07-22,"Those born under the zodiac sign Cancer need to be needed. They have an great desire to feel loved and appreciated in every part of their lives. This is needed so that they can develop a sense of security and identity. To the Cancer zodiac sign, their sense of home is very important to their feeling of safety and comfort. They find it rather difficult to achieve unless they feel safe in their home. They are talented at developing home environments for people that are close to them - in both an emotional and physical sense. ","Nurturing,Supportive,Healing,Compassionate,Unconditionally Loving","Dependent,Indirect,Moody,Passive Aggressive,Unable to Let Go"
Leo,The Lion,07-23,08-22,"Leos tend to have almost a royal air about them. Their planetary ruler is the Sun, and so they are talented at bringing warmth, life and light into the relationships that are important to them. Many Leos will have a large group of friends that adore them. They have a kind of natural charisma which often makes other signs gravitate towards them. Like their planetary ruler, Leos love to be at the center of attention and they deeply appreciate compliments and even flattery. Their happy and outgoing attitude towards life makes them pleasurable to be around. ","Brave,Playful,Leader,Fun,Warm,Protective,Generous,Charismatic","Egotistical,Dominating,Stubborn,Controlling,A Show-off,Vain"
Virgo,The Virgin,08-23,09-22,"Those born under the Virgo zodiac sign have capable, organized and analytical minds, which often makes them a pleasure to chat with. Even when they have rather fantastic stories, the charming way they tell them can make those stories convincing. Virgos are curious people, and they have a natural gift for research - whether it comes to assignments, or even people. They also often have great memory and a talent for intuition. They make for excellent team members in both work and social situations. They love to collaborate, although their sometimes critical nature can annoy others when those criticisms are not understood.","Modest,Humble,Orderly,Altruistic,Logical,Responsible,Organized","Obsessive,Critical,Excessive Attention to Insignificant Details,Perfectionist"
Libra,The Scales,09-23,10-22,"The zodiac sign Libra is thrives when their needs of balance, justice, and stability are met. They are charming creatures that somehow always surround themselves with a sense of beauty and harmony. Admittedly, some of them can go to extremes searching for that harmony - which can make their situations unreasonable or unhealthy. Their ruling planet is Venus meaning that Libras are nurturing, caring, and they can make great defenders of the downtrodden. Sometimes, they can be shy if they find difficulties in coming out of their shell and letting their guard down. Despite their more introverted side they still love a good debate.","Charming,Harmonious,Diplomatic,
Easy-going Nature,Polished","Indecisive,Superficial,Hypocritical,Gullible,Passive Aggressive"
Scorpio,The Scorpion,10-23,11-21,"Unfortunately, those born under the Scorpio zodiac sign are often misunderstood. They are quite bold, with intense personalities and feelings that hide underneath their cool exterior. They are capable people that can complete great and massive projects with control and confidence. Their intensity when approaching a situation means that they can surmount almost all obstacles if they can truly put their mind to the task. Many Scorpios have an unshakable focus when they need to call on it. However, they are often secretive, seeming withdrawn and uninterested, when they are actually keenly observing.","Passionate,Driven,Perceptive,Emotional,
Sacrificing,Determined","Vindicative,Paranoid,Destruction,Possessive,Jealous,Clingy"
Sagittarius,The Centaur,11-22,12-21,"The Sagittarius zodiac sign often gains the reputation of the philosopher among their fellow zodiac signs. They do have a great ability to focus, but this may be surprising since many of them love exploring and wandering the world, tasting all the pleasures of life. From an early age, they must learn how to channel their energy or else they risk stretching themselves out too thin going in too many directions. They often are hasty individuals and lack patience. When they encounter failure they can sometimes make a sudden comeback, much to the surprise of others. While they are loyal friends, they may find it hard to commit as this can run counter to their desire for freedom and expansion.","Ambitious,Lucky,Moral,Optimistic,Enthusiastic,Open minded,Versatile","Gluttonous,Lazy,Restless,Irresponsible,Blindly Optimistic, Tactless"
Capricorn,The Goat,12-22,01-19,"Those born under the Capricorn zodiac sign are talented at applying their keen intelligence and ambition to practical matters.  Stability and order are important to them - and this makes them good organizers. Their goals are often lofty, and they achieve them slowly - but purposefully, and systematically. They are gifted with a sharp intuition, although they can be rather secretive about what they perceive. They are patient with themselves - they have confidence that they can accomplish all their goals if they follow their step-by-step plan. They are responsible people that often take the heavy burden of others - whether willingly, or just because they are so capable. However, they find it difficult to share their own troubles and can struggle with depression if they don't learn how to express their feelings.","Driven,Patient,Strategic,Determined,Disciplined,Responsible,Persistent","Pessimistic,Greedy,Cynical,Fearful,Ruthless,Rigit,Miserly"
